project_name,district,completion_raw,list_total_price_raw,recent_transaction_total_raw,recent_transaction_unit_raw,sales_status,source_url
佳鋐首耀,梧棲區,2026年第三季度,728萬/戶,865萬,26.6萬/坪,銷售中,https://newhouse.591.com.tw/137089
順天緮華,太平區,2026年上半年,,1595萬,37.9萬/坪,銷售中,https://newhouse.591.com.tw/131228
永尚謙玥,北屯區,2030年下半年,1550~2100萬/戶,1590萬,52.2萬/坪,銷售中,https://newhouse.591.com.tw/139095
品臻曦,北屯區,2033年12月,1780萬/戶,,,銷售中,https://newhouse.591.com.tw/139397
大山謙里,北屯區,2026年第四季度,,,,銷售中,https://newhouse.591.com.tw/137070
富宇琚山境,北屯區,2030年上半年,,1660萬,59.2萬/坪,銷售中,https://newhouse.591.com.tw/139583
富華澐光,北屯區,2029年下半年,,1135萬,37.4萬/坪,銷售中,https://newhouse.591.com.tw/139810
富旺千蘊,西區,2027年12月,,2037萬,67.1萬/坪,銷售中,https://newhouse.591.com.tw/135670
遠雄琉蘊,西屯區,2029年上半年,,3306萬,83.7萬/坪,銷售中,https://newhouse.591.com.tw/133758
未來習作,西屯區,2028年第四季度,,,,銷售中,https://newhouse.591.com.tw/141234
怡山自在,西屯區,2026年下半年,,1780萬,61.1萬/坪,銷售中,https://newhouse.591.com.tw/138187
囍御水湳,西屯區,2026年第四季度,2628萬/戶,2868萬,69.4萬/坪,銷售中,https://newhouse.591.com.tw/135546
南悅樂田,南屯區,2028年上半年,,2700萬,63.9萬/坪,銷售中,https://newhouse.591.com.tw/137495
國泰蒔萃,南屯區,2029年下半年,,3608萬,71.7萬/坪,銷售中,https://newhouse.591.com.tw/138642
勝旺悅,南屯區,2027年下半年,,1735萬,59.2萬/坪,銷售中,https://newhouse.591.com.tw/140337
馥玉,南屯區,2026年08月,,,,銷售中,https://newhouse.591.com.tw/139041
亞悦櫻悦家,后里區,2026年第三季度,,1650萬,35.6萬/坪,銷售中,https://newhouse.591.com.tw/136026
麗晨片片山閑,西屯區,2027年第一季度,,3570萬,77.2萬/坪,銷售中,https://newhouse.591.com.tw/134542
馨懋里想居2,后里區,2027年第二季度,,,,銷售中,https://newhouse.591.com.tw/137226
川平蘊川,梧棲區,2028年12月,,,,銷售中,https://newhouse.591.com.tw/141257
