AA11,addr,apply,applydate,b,chkdate,city,e,f,house,id,idlist,lat,ldate,license,lon,ma,mark,name,pimg,pu,s,sn,subid,town
第二種住宅區,西屯區西屯路二段297-8巷12弄,和宜建設股份有限公司,1100802,西屯段2259地號,1120727,B,無,,91,G2B011008020001,"G2B011008020001,02,和宜建設股份有限公司,1120712",24.177362352529226,1081109,108中都建字第02262號,120.63920045553313,鋼筋混泥土造,和宜建設股份有限公司(負責人：張?源),和宜好好,build_case.png,集合住宅,110年3月29日至全案售罊,0,02,B06
第二種創新研發專用區,西屯區逢大路和凱旋一街交叉口,遠雄建設事業股份有限公司,1100805,逢大段35地號,1120725,B,無,1130219,128,G1B011008050002,"G1B011008050002,04,遠雄建設事業股份有限公司,1120721",24.17689270868334,1100217,110中都建字第448號,120.65078603937026,鋼筋混凝土造,遠雄建設事業股份有限公司,遠雄純寓,build_case.png,G3 一般零售業甲乙組 & H2集合住宅,"1100125~1121226,延長代銷期間",1,04,B06
第六種新市政中心專用區,西屯區市政北七路及惠中一街交叉口,大陸建設股份有限公司,1101029,惠國段101地號,1130202,B,至售完為止(零售業、辦公室),1141030,84,G2B011010290001,"G2B011010290001,22,大陸建設股份有限公司,1130130",24.16269285940922,1100423,110中都建字第00858號,120.64434921280073,鋼骨造,大陸建設股份有限公司,豐蒔,build_case.png,零售業、辦公室、集合住宅,"1120901~1140228,集合住宅",2,22,B06
第六種新市政中心專用區,西屯區市政北一路,興富發建設股份有限公司,1101105,惠民段115地號,1120907,B,無,,271,G1B011011050002,"G1B011011050002,07,興富發建設股份有限公司,1120906",24.160953826769,1060410,106中都建字第00756號,120.63820342191418,鋼骨鋼筋混凝土造,興富發建設股份有限公司,鉑金愛悅,build_case.png,集合住宅、店鋪、辦公室,"1110721~1160430,1110721至使照取得",3,07,B06
第三種新市政中心專用區,西屯區惠政街,由鉅建設股份有限公司,1101111,"惠國段81地號,惠國段82地號",1120824,B,110年10月25日至銷售完畢,,171,G1B011011110003,"G1B011011110003,06,由鉅建設股份有限公司,1120821",24.157588627382378,1101025,110中都建字第02128號,120.64319230097915,鋼骨造,由鉅建設股份有限公司 林嘉琪,惟上,build_case.png,集合住宅,"~1121031,110年11月8日至112年10月31日",4,06,B06
第二種文化商業區,西屯區啟航路,豐邑建設股份有限公司,1101217,文商段22地號,1120728,B,1110115~1181231,,188,G1B011012170001,"G1B011012170001,04,豐邑建設股份有限公司,1120725",24.18986047366398,1100708,110中都建字第01395號,120.6555246916024,鋼筋混凝土,豐邑建設股份有限公司,豐邑PARK ONE,build_case.png,店鋪、辦公類場所、集合住宅,1110115~1181231,5,04,B06
第三種商業區,西屯區青海路二段與文心路三段交叉口,潤隆建設股份有限公司,1110106,"中正段228地號,中正段235地號",1120913,B,無,1141201,542,G1B011101060001,"G1B011101060001,09,潤隆建設股份有限公司,1120912",24.165787705358614,1030916,103中都建字第02657號,120.65121974207659,鋼骨鋼筋混凝土造,潤隆建設股份有限公司,VVS1,build_case.png,集合住宅、店舖、辦公室,1110101~1131231,6,09,B06
第六種新市政中心專用區,西屯區市政路,興富發建設股份有限公司,1110110,惠民段114地號,1130130,B,無,,408,G1B011101100004,"G1B011101100004,11,興富發建設股份有限公司,1130117",24.160410926405998,1101213,110中都建字第02499號,120.63772274580494,鋼骨鋼筋混凝土造，鋼筋混凝土造,興富發建設股份有限公司,蘿曼蘿蘭,build_case.png,集合住宅、店鋪、辦公室,1110101~1181231,7,11,B06
第六種新市政中心專用區,西屯區惠國段171地號等1筆,泉盈建設股份有限公司,1110210,惠國段171地號,1120721,B,無,,69,G2B011102100002,"G2B011102100002,01,泉盈建設股份有限公司,1120630",24.160806183408443,1110128,111中都建字第00298號,120.64068375919773,鋼骨鋼筋混凝土造,泉盈建設股份有限公司,泉宇雲鼎,build_case.png,住家用、共用部分、停車空間、見其他登記事項,1110501~1131231,8,01,B06
第四之一種商業區,西屯區河南路四段,興富發建設股份有限公司,1110304,惠順段119地號,1120720,B,無,,342,G1B011103040002,"G1B011103040002,08,興富發建設股份有限公司,1120706",24.159306899726495,1110302,111中都建字第00410號,120.63669257138612,鋼骨鋼筋混凝土造，鋼筋混凝土造,興富發建設股份有限公司,市政新銳,build_case.png,店鋪、辦公室、集合住宅,"1110721~1170630,1110721起至使照取得",9,08,B06
