建案名稱,行政區,價格指標(萬/戶),價格來源,價格階段,預計完工日,距完工天數,半年內完工標注,銷售狀態,資料來源
順天緮華,太平區,1595.0,近期成交總價,Tier 1,2026-06-30,71,★重點,銷售中,https://newhouse.591.com.tw/131228
馥玉,南屯區,,待補件,待補件,2026-08-31,133,★重點,銷售中,https://newhouse.591.com.tw/139041
亞悦櫻悦家,后里區,1650.0,近期成交總價,Tier 2,2026-09-30,163,★重點,銷售中,https://newhouse.591.com.tw/136026
佳鋐首耀,梧棲區,728.0,建案總價,Tier 1,2026-09-30,163,★重點,銷售中,https://newhouse.591.com.tw/137089
囍御水湳,西屯區,2628.0,建案總價,Tier 4,2026-12-31,255,否,銷售中,https://newhouse.591.com.tw/135546
大山謙里,北屯區,,待補件,待補件,2026-12-31,255,否,銷售中,https://newhouse.591.com.tw/137070
怡山自在,西屯區,1780.0,近期成交總價,Tier 3,2026-12-31,255,否,銷售中,https://newhouse.591.com.tw/138187
麗晨片片山閑,西屯區,3570.0,近期成交總價,Tier 5,2027-03-31,345,否,銷售中,https://newhouse.591.com.tw/134542
馨懋里想居2,后里區,,待補件,待補件,2027-06-30,436,否,銷售中,https://newhouse.591.com.tw/137226
勝旺悅,南屯區,1735.0,近期成交總價,Tier 2,2027-12-31,620,否,銷售中,https://newhouse.591.com.tw/140337
富旺千蘊,西區,2037.0,近期成交總價,Tier 4,2027-12-31,620,否,銷售中,https://newhouse.591.com.tw/135670
南悅樂田,南屯區,2700.0,近期成交總價,Tier 4,2028-06-30,802,否,銷售中,https://newhouse.591.com.tw/137495
川平蘊川,梧棲區,,待補件,待補件,2028-12-31,986,否,銷售中,https://newhouse.591.com.tw/141257
未來習作,西屯區,,待補件,待補件,2028-12-31,986,否,銷售中,https://newhouse.591.com.tw/141234
遠雄琉蘊,西屯區,3306.0,近期成交總價,Tier 5,2029-06-30,1167,否,銷售中,https://newhouse.591.com.tw/133758
國泰蒔萃,南屯區,3608.0,近期成交總價,Tier 5,2029-12-31,1351,否,銷售中,https://newhouse.591.com.tw/138642
富華澐光,北屯區,1135.0,近期成交總價,Tier 1,2029-12-31,1351,否,銷售中,https://newhouse.591.com.tw/139810
富宇琚山境,北屯區,1660.0,近期成交總價,Tier 2,2030-06-30,1532,否,銷售中,https://newhouse.591.com.tw/139583
永尚謙玥,北屯區,1825.0,建案總價,Tier 3,2030-12-31,1716,否,銷售中,https://newhouse.591.com.tw/139095
品臻曦,北屯區,1780.0,建案總價,Tier 3,2033-12-31,2812,否,銷售中,https://newhouse.591.com.tw/139397
