建案名稱,坐落街道,起造人,層棟戶數,使用分區,主要用途,主要建材,申報備查期間,自銷售期間,代銷售期間,坐落基地,建照核發日期,建造執照,完成建物第一次登記日期,詳細內容,功能,備註,city,district,query_url,fetched_at
續森,西屯區龍聖路近聖王街,陸府建設股份有限公司,76,第一之C種住宅區,集合住宅,鋼筋混凝土造,1111223,111年12月23日起備查後即可銷售至售完為止,,龍富段107地號,1111115,111中都建字第02287號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
雅敦蔚山,西屯區龍富段,雅敦建設開發有限公司,6,第一之B種住宅區,H2住宅,鋼筋混凝土造,1150305,1150501~1161231,,龍富段297地號,1141121,114中都建字第01646號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
正直上弦．壹,西屯區順和段,正直建設股份有限公司,7,第二種住宅區,住家用,鋼筋混凝土造,1150122,1150224~1161231,,順和段36地號,1140227,114中都建字第00281號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
VVS1,西屯區青海路二段與文心路三段交叉口,潤隆建設股份有限公司,542,第三種商業區,集合住宅、店舖、辦公室,鋼骨鋼筋混凝土造,1110106,無,1110101~1131231,中正段228地號,1030916,103中都建字第02657號,1141201,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
泰御天鑄II,西屯區青海路二段,泰御建設股份有限公司,111,第二種住宅區/第三種住宅區,G3店鋪H2集合主宅,鋼筋混凝土造,1110816,無,1111101~1121130,福德段37地號,1110526,111中都建字第01098號,1150211,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
親家青海道,西屯區青海路一段,親家地產股份有限公司,234,第三種商業區,H2集合住宅,鋼筋混凝土造,1130503,無,1130601~1140731,中正段195地號,1101229,110中都建字第02617號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
逢甲301,西屯區逢甲路、逢甲路301巷交叉口,苑景建設開發股份有限公司,37,第三之二種住宅區,H2集合住宅,鋼筋混凝土造,1140602,1140701~·,,西屯段2366地號,1130822,113中都建字第01469號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
碧城FJ TOWER,西屯區逢甲路73號,碧城開發股份有限公司,218,第二之一種商業區,G3店鋪G2辦公室B3餐廳H2集合住宅,鋼骨鋼筋混凝土造,1130903,無,1130701~1180630,西屯段2015地號,1130726,113中都建字第01296號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
遠雄純寓,西屯區逢大路和凱旋一街交叉口,遠雄建設事業股份有限公司,128,第二種創新研發專用區,G3 一般零售業甲乙組 & H2集合住宅,鋼筋混凝土造,1100805,無,"1100125~1121226,延長代銷期間",逢大段35地號,1100217,110中都建字第448號,1130219,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
遠雄寬寓,西屯區逢大段28地號,遠雄建設事業股份有限公司,171,第二種創新研發專用區,G3一般零售業甲乙組 & H2集合住宅,鋼筋混凝土造,1100804,無,1100125~1120906,逢大段28地號,1100226,110中都建字第447號建造執照,1121225,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
